sampledate,coreid,wtemp,light50,dark_light,light_logger,light0,do_init,delta_do_rate,do_final,do_gm2hr
2012-06-08,1,8.25,410,0,NA,712.65,12.78,-0.191304347826087,12.12,-0.03539130434782609
2012-06-08,2,8.15,410,1,NA,712.65,12.9,1.06060606060606,16.4,0.2545454545454544
2012-06-08,3,8.3,410,0,NA,712.65,12.67,-0.17905759162303675,12.1,-0.04207853403141363
2012-06-12,2,13.3,718.55,1,NA,1535.5,12.02,1.6210526315789475,16.64,0.340421052631579
2012-06-12,3,12.8,718.55,0,NA,1535.5,12.21,-0.21656804733727852,11.6,-0.04006508875739652
2012-06-12,4,12.9,718.55,1,NA,1535.5,11.68,1.4894117647058824,15.9,0.26809411764705887
2012-06-12,5,12.35,718.55,0,NA,1535.5,12.44,-0.15357142857142847,12.01,-0.03639642857142854
2012-06-12,6,12.5,718.55,1,NA,1535.5,11.35,0.7810650887573968,13.55,0.16636686390532554
2012-06-12,7,12.15,718.55,0,NA,1535.5,12.37,-0.17396449704141956,11.88,-0.04035976331360934
2012-06-12,8,12.25,718.55,1,NA,1535.5,12.5,0.9071428571428568,15.04,0.18233571428571427
2012-06-12,9,12.05,718.55,0,NA,1535.5,11.93,-0.22499999999999967,11.3,-0.05062499999999993
2012-06-12,10,12.2,718.55,1,NA,1535.5,12.06,0.4366863905325439,13.29,0.12008875739644956
2012-06-19,1,11.5,302.8,0,NA,572.3,12.97,-0.21976744186046537,12.34,-0.04856860465116285
2012-06-19,2,11.75,302.8,1,NA,572.3,12.92,0.30177514792899396,13.77,0.07121893491124258
2012-06-19,3,11.45,302.8,0,NA,572.3,12.88,-0.18352941176470636,12.36,-0.03982588235294128
2012-06-19,4,11.75,302.8,1,NA,572.3,12.8,0.46235294117647013,14.11,0.10587882352941164
2012-06-19,5,11.4,302.8,0,NA,572.3,12.21,-0.14385964912280708,11.8,-0.03121754385964913
2012-06-19,6,11.55,302.8,1,NA,572.3,12.71,0.4161849710982656,13.91,0.08573410404624272
2012-06-19,7,11.3,302.8,0,NA,572.3,12.61,-0.31200000000000006,11.7,-0.06739200000000001
2012-06-19,8,11.55,302.8,1,NA,572.3,13.11,0.3257142857142861,14.06,0.08631428571428583
2012-06-19,9,11.4,302.8,0,NA,572.3,12.71,-0.21600000000000028,12.08,-0.04773600000000006
2012-06-19,10,11.7,302.8,1,NA,572.3,12.76,0.5795454545454549,14.46,0.11648863636363645
2012-06-26,1,15.75,657.89,0,NA,1180.005,10.8,-0.48,9.56,-0.097392
2012-06-26,2,15.6,657.89,1,NA,1180.005,10.55,0.8900662251655623,12.79,0.18735894039735088
2012-06-26,3,15.15,657.89,0,NA,1180.005,10.83,-0.4539473684210528,9.68,-0.0962368421052632
2012-06-26,4,15.45,657.89,1,NA,1180.005,10.97,0.7294117647058822,12.83,0.16192941176470582
2012-06-26,5,15.15,657.89,0,NA,1180.005,10.9,-0.3194805194805196,10.08,-0.07028571428571431
2012-06-26,6,15.4,657.89,1,NA,1180.005,11.01,0.6428571428571429,12.66,0.1497857142857143
2012-06-26,7,15.35,657.89,0,NA,1180.005,10.96,-0.4916129032258069,9.69,-0.1140541935483872
2012-06-26,8,15.85,657.89,1,NA,1180.005,10.77,1.123566878980892,13.71,0.24212866242038228
2012-06-26,9,15.75,657.89,0,NA,1180.005,10.7,-0.421518987341772,9.59,-0.09062658227848096
2012-06-26,10,16.15,657.89,1,NA,1180.005,10.95,1.3912500000000003,14.66,0.27129375000000006
2012-07-03,1,15.8,295,0,NA,852.5,12.07,-0.3933014354066988,10.7,-0.08377320574162685
2012-07-03,2,15.95,295,1,NA,852.5,12.09,0.7596330275229357,14.85,0.18611009174311924
2012-07-03,3,15.6,295,0,NA,852.5,12.05,-0.34976303317535556,10.82,-0.07974597156398107
2012-07-03,4,16,295,1,NA,852.5,11.33,0.6192660550458715,13.58,0.17029816513761467
2012-07-03,5,15.6,295,0,NA,852.5,11.68,-0.3742857142857144,10.37,-0.07934857142857146
2012-07-03,6,15.65,295,1,NA,852.5,11.42,0.6140845070422535,13.6,0.15659154929577462
2012-07-03,7,15.85,295,0,NA,852.5,11.91,-0.3952606635071092,10.52,-0.09960568720379152
2012-07-03,8,15.55,295,1,NA,852.5,11.58,0.9497630331753554,14.92,0.18995260663507108
2012-07-03,9,15.35,295,0,NA,852.5,11.83,-0.3885714285714284,10.47,-0.08898285714285709
2012-07-03,10,15.35,295,1,NA,852.5,11.94,0.5885167464114834,13.99,0.14183253588516753
2012-07-11,1,15.7,882.25,0,NA,1466.15,11.07,-0.35056179775280927,10.03,-0.09289887640449444
2012-07-11,2,15.8,882.25,1,NA,1466.15,10.9,0.22711864406779655,11.57,0.06813559322033898
2012-07-11,3,15.35,882.25,0,NA,1466.15,10.92,-0.3222857142857141,9.98,-0.07573714285714281
2012-07-11,4,15.7,882.25,1,NA,1466.15,10.76,0.4261363636363637,12.01,0.09161931818181818
2012-07-11,5,15.5,882.25,0,NA,1466.15,10.97,-0.2571428571428572,10.22,-0.063
